BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,X_COORD,Y_COORD,GLOBALID
2015-BFN-0006241,CRAZY MOUNTAIN TAP ROOM & BBQ,471 N KALAMATH ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-02-17 14:46:32,2017-02-02 00:00:00,183883,471 N Kalamath St,,Denver,CO,,7,3,2100,3140453,1688843,{00000000-0000-0000-0000-000000000000}
2013-BFN-1069863,DAYS INN & SUITES DENVER INTERNATIONAL AIRPORT,7030 N TOWER RD,LIQUOR - ,LICENSE ISSUED - ACTIVE,2016-04-25 14:18:57,2017-02-18 00:00:00,167996,7030 N Tower Rd,,Denver,CO,,11,5,8313,3205010,1726164,{00000000-0000-0000-0000-000000000000}
2015-BFN-0002674,BOWMAN'S VINYL AND LOUNGE,1312 S BROADWAY ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2016-07-22 10:38:42,2017-07-16 00:00:00,104324,1312 S Broadway,,Denver,CO,,7,3,3001,3144341,1677589,{00000000-0000-0000-0000-000000000000}
2002-BFN-30216,GIUSEPPES PIZZERIA & DELI,5600 W DARTMOUTH AVESUITE 107 ,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2016-06-07 16:21:09,2017-07-09 00:00:00,61212,5600 W Dartmouth Ave,,Denver,CO,,2,4,11902,3124924,1663895,{00000000-0000-0000-0000-000000000000}
2002-BFN-96408,DARCY'S,4955 S ULSTER ST STE 103 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-15 11:33:02,2017-02-05 00:00:00,362898,4955 S Ulster St Ste 103,,Denver,CO,,4,3,6804,3170362,1653802,{00000000-0000-0000-0000-000000000000}
2002-BFN-80025,SANTA FE LIQUORS,340 SANTA FE DR,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-06-09 10:01:38,2017-07-13 00:00:00,,,,,,,7,3,2100,3141133,1688173,{00000000-0000-0000-0000-000000000000}
2014-BFN-1074060,JIM N NICK'S BAR-B-Q,6325 E HAMPDEN AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-08-17 09:57:48,2017-09-15 00:00:00,385119,6325 E Hampden Ave,,Denver,CO,,4,3,6812,3164207,1663608,{00000000-0000-0000-0000-000000000000}
2014-BFN-1073539,THE VILLAGE CORK,1300 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-08-30 09:10:25,2017-10-02 00:00:00,180859,1300 S Pearl St,,Denver,CO,,7,3,3001,3146262,1677659,{00000000-0000-0000-0000-000000000000}
2001-BFN-81885,POUR LA FRANCE MAIN TERMINAL,8400 PENA BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-05-31 09:56:54,2017-05-07 00:00:00,221158,8600 Pena Blvd,,Denver,CO,,11,7,8313,3231946,1736179,{00000000-0000-0000-0000-000000000000}
2009-BFN-1039631,MILOS SPORTS TAVERN,6495 E EVANS AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-06-08 13:01:28,2017-07-08 00:00:00,141121,6495 E Evans Ave,,Denver,CO,,6,3,5200,3165166,1672658,{00000000-0000-0000-0000-000000000000}
2012-BFN-1062424,PHO 95 VIETNAMESE,1401 S FEDERAL BLVD,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2015-11-23 09:29:36,2016-12-16 00:00:00,101129,1401 S Federal Blvd,,Denver,CO,,3,4,4602,3133562,1676919,{00000000-0000-0000-0000-000000000000}
2004-BFN-1007975,CHOP SHOP CASUAL URBAN EATERY,200 N QUEBEC STBLDG 300 #101 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-04-15 11:14:21,2017-02-24 00:00:00,220910,200 N Quebec St,,Denver,CO,,5,3,4405,3167991,1688019,{00000000-0000-0000-0000-000000000000}
2013-BFN-1065504,STAPLETON TAP HOUSE,8286 E NORTHFIELD BLVDUNIT 1525 ,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-06-13 09:59:46,2017-07-21 00:00:00,364195,8286 E Northfield Blvd Unit 1525,,Denver,CO,,8,5,4105,3170704.95,1709506.81,{00000000-0000-0000-0000-000000000000}
2011-BFN-1057613,LOCAL 46 BAR,4586 TENNYSON ST,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2016-02-09 15:16:09,2017-03-19 00:00:00,261480,4586 N Tennyson St,,Denver,CO,,1,1,102,3128240,1709300,{00000000-0000-0000-0000-000000000000}
2002-BFN-55709,D U CONOCO FOOD STORE,2001 S UNIVERSITY BLVD,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2016-05-25 14:18:54,2017-06-29 00:00:00,111605,2001 S University Blvd,,Denver,CO,,6,3,3003,3152055,1673014,{00000000-0000-0000-0000-000000000000}
2002-BFN-83461,SOOPER B LIQUORS,100 S BROADWAY ,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-01-27 11:54:24,2017-03-07 00:00:00,81301,100 S Broadway,,Denver,CO,,7,3,2802,3144265,1685559,{00000000-0000-0000-0000-000000000000}
2004-BFN-1012419,QDOBA MEXICAN GRILL,7155 E HAMPDEN AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-08 12:34:45,2017-01-17 00:00:00,145480,7155 E Hampden Ave,,Denver,CO,,4,3,6812,3167444,1663565,{00000000-0000-0000-0000-000000000000}
2002-BFN-1611,MGM'S RESTAUANT & LOUNGE,4801 MORRISON RD,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2016-05-31 15:08:02,2017-06-30 00:00:00,96918,4801 Morrison Rd,,Denver,CO,,3,4,4501,3126950,1680235,{00000000-0000-0000-0000-000000000000}
2001-BFN-5788,PINEHURST COUNTRY CLUB,6255 W QUINCY AVE,LIQUOR - CLUB,LICENSE ISSUED - ACTIVE,2015-12-23 12:43:51,2016-12-31 00:00:00,223377,6255 W Quincy Ave,,Denver,CO,,2,4,12001,3121578,1657905,{00000000-0000-0000-0000-000000000000}
2002-BFN-90263,E&S LIQUORS,6460 E YALE AVE,LIQUOR - STORE,LICENSE ISSUED - ACTIVE,2016-05-04 11:06:35,2017-06-11 00:00:00,223382,6460 E Yale Ave,,Denver,CO,,4,3,6812,3164835,1668185,{00000000-0000-0000-0000-000000000000}
2001-BFN-5242,RETREAT GRILL AND SPORTS TAVERN,2186 S COLORADO BLVD,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2015-11-23 15:38:41,2016-12-31 00:00:00,222215,2186 S Colorado Blvd,,Denver,CO,,4,3,5300,3157692,1672055,{00000000-0000-0000-0000-000000000000}
2015-BFN-0002571,EURO CREPES,1842 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-06-13 10:13:53,2017-07-19 00:00:00,491568,1842 S Broadway Ste 103,,Denver,CO,,7,3,3001,3144382,1674094,{00000000-0000-0000-0000-000000000000}
2011-BFN-1055380,CONTINENTAL 10,3635 S MONACO PKWY,LIQUOR - TAVERN,LICENSE ISSUED - ACTIVE,2016-11-29 12:39:47,2017-11-29 00:00:00,171519,3635 S Monaco Street Pkwy,,Denver,CO,,4,3,6809,3164370,1662455,{00000000-0000-0000-0000-000000000000}
2002-BFN-99990,HANSON'S GRILL AND TAVERN,1301 S PEARL ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-05-23 09:44:56,2017-06-05 00:00:00,,,,,,,7,3,3001,3146176,1677677,{00000000-0000-0000-0000-000000000000}
2012-BFN-1059010,7-ELEVEN STORE 27429B,1850 S SHERIDAN BLVD,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2015-11-23 15:00:01,2016-12-17 00:00:00,246509,1850 S Sheridan Blvd,,Denver,CO,,2,4,4601,3125933,1673777,{00000000-0000-0000-0000-000000000000}
2003-BFN-1004588,TUK TUK THAI GRILL,8000 E QUINCY AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2015-11-23 14:46:18,2016-12-28 00:00:00,221147,8000 E Quincy Ave,,Denver,CO,,4,3,6809,3169836,1657728,{00000000-0000-0000-0000-000000000000}
2010-BFN-1050267,HAMPTON INN & SUITES DENVER TECH CENTER,5001 S ULSTER ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2015-11-06 15:04:29,2016-12-16 00:00:00,152041,5001 S Ulster St,,Denver,CO,,4,3,6804,3170132,1653624,{00000000-0000-0000-0000-000000000000}
2011-BFN-1055288,7-ELEVEN STORE 27492A,1670 E 47TH AVE,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2016-07-22 14:05:12,2017-08-28 00:00:00,35115,1670 E 47th Ave,,Denver,CO,,9,2,3500,3149799,1710045,{00000000-0000-0000-0000-000000000000}
2006-BFN-1018994,7-ELEVEN STORE 13198B,607 E ALAMEDA AVE,LIQUOR - 3.2% BEER,LICENSE ISSUED - ACTIVE,2016-07-14 15:26:16,2017-07-31 00:00:00,186860,607 E Alameda Ave,,Denver,CO,,7,3,2803,3146242,1684375,{00000000-0000-0000-0000-000000000000}
2014-BFN-1073274,TAQUERIA CONTRERAS,3570 MORRISON ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-27 11:12:14,2017-02-02 00:00:00,95473,3570 Morrison Rd,,Denver,CO,,3,4,4502,3130916,1683664,{00000000-0000-0000-0000-000000000000}
2001-BFN-82384,CANTINA GRILL,8400 PENA BLVD #T6-0A ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2015-10-12 10:40:41,2017-10-31 00:00:00,263850,8400 Pena Blvd Bldg T6 # 0A,,Denver,CO,,11,7,8313,3232192,1735104,{00000000-0000-0000-0000-000000000000}
2016-BFN-0001399,THE TWISTED TULIP,300 N FILLMORE ST,LIQUOR - ART GALLERY PERMIT,LICENSE ISSUED - ACTIVE,2016-04-11 00:00:00,2017-04-11 00:00:00,84798,300 N Fillmore St,,Denver,CO,,10,3,3800,3153794,1688015,{00000000-0000-0000-0000-000000000000}
2002-BFN-28019,CHINA JADE SEAFOOD RESTAURANT,375 S FEDERAL BLVD 109-111 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-08-02 13:02:14,2017-08-10 00:00:00,226284,375 S Federal Blvd,,Denver,CO,,3,4,4502,3133419,1683874,{00000000-0000-0000-0000-000000000000}
2012-BFN-1063115,HI-DIVE,7 S BROADWAY ,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2016-01-27 12:02:26,2017-02-19 00:00:00,171810,7 S Broadway,,Denver,CO,,7,3,2100,3144111,1686221,{00000000-0000-0000-0000-000000000000}
2013-BFN-1064546,GRIMALDI'S PIZZERIA,500 16TH STUNIT 128 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-03-16 08:33:20,2017-04-09 00:00:00,263787,500 16th St Unit 128,,Denver,CO,,9,6,1702,3143046,1696397,{00000000-0000-0000-0000-000000000000}
2010-BFN-1045518,EL CENTRO SU TEATRO,721 SANTA FE DR,LIQUOR - ARTS,LICENSE ISSUED - ACTIVE,2016-09-29 18:01:10,2017-11-02 00:00:00,69486,721 N Santa Fe Dr,,Denver,CO,,3,1,1800,3140917,1690339,{00000000-0000-0000-0000-000000000000}
2002-BFN-94628,CENTERPLATE,1801 BRYANT ST 200 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-07-15 12:47:16,2017-08-06 00:00:00,,,,,,,3,1,800,3135058,1696202,{00000000-0000-0000-0000-000000000000}
2001-BFN-37705,BAYOU BOB'S,1635 GLENARM PL,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2015-12-07 14:30:21,2016-12-13 00:00:00,176315,1635 Glenarm Pl,,Denver,CO,,9,6,1702,3143400,1696476,{00000000-0000-0000-0000-000000000000}
2015-BFN-0004716,KAROLLE CORPORATION,5100 E COLFAX AVE,LIQUOR - TASTINGS,LICENSE ISSUED - ACTIVE,2015-07-24 00:00:00,2016-07-24 00:00:00,128612,5100 E Colfax Ave,,Denver,CO,,5,2,4302,3160929,1694855,{00000000-0000-0000-0000-000000000000}
2002-BFN-93631,QDOBA MEXICAN EATS,1400 E 17TH AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-09-23 11:58:35,2017-10-09 00:00:00,57523,1400 E 17th Ave,,Denver,CO,,9,6,3102,3149226,1695921,{00000000-0000-0000-0000-000000000000}
2009-BFN-1043173,TELEGRAPH,295 S PENNSYLVANIA ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-10-10 13:00:34,2017-10-13 00:00:00,81504,295 S Pennsylvania St,,Denver,CO,,7,3,2802,3145789,1684381,{00000000-0000-0000-0000-000000000000}
2007-BFN-1027587,MT FUJI JAPANESE SUSHI & HIBACHI,601 GRANT ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-10-31 12:13:38,2017-09-03 00:00:00,190796,601 N Grant St,,Denver,CO,,10,3,2801,3145134,1689636,{00000000-0000-0000-0000-000000000000}
2005-BFN-1014723,STEUBENS,525 E 17TH AVE,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-08-15 11:45:29,2017-08-03 00:00:00,55524,523 E 17th Ave,,Denver,CO,,10,6,2601,3146173,1696089,{00000000-0000-0000-0000-000000000000}
2015-BFN-0004710,GALLERY 1261,1261 N DELAWARE ST,LIQUOR - ART GALLERY PERMIT,LICENSE ISSUED - ACTIVE,2016-08-22 12:41:26,2017-08-12 00:00:00,67302,1261 N Delaware St,,Denver,CO,,10,6,2000,3142501,1693508,{00000000-0000-0000-0000-000000000000}
2013-BFN-1069818,GARLIC KNOT MAYFAIR,6217 E 14TH AVE,LIQUOR - BEER & WINE,LICENSE ISSUED - ACTIVE,2016-01-12 14:31:12,2017-01-29 00:00:00,182160,6217 E 14th Ave,,Denver,CO,,5,2,4304,3164303,1694508,{00000000-0000-0000-0000-000000000000}
2011-BFN-1056867,THAI MONKEY CLUB,102 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-25 09:03:15,2017-02-05 00:00:00,232545,102 S Broadway,,Denver,CO,,7,3,2802,3144265,1685559,{00000000-0000-0000-0000-000000000000}
2002-BFN-73439,LITTLE OLLIES,2364 E 3RD AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-04-20 11:12:08,2017-05-20 00:00:00,183761,2364 E 3rd Ave,,Denver,CO,,10,3,3800,3152223,1687655,{00000000-0000-0000-0000-000000000000}
2003-BFN-1005721,QDOBA MEXICAN EATS 2095,200 QUEBEC STBLDG 600 ,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2016-01-20 10:17:36,2017-01-26 00:00:00,220910,200 N Quebec St,,Denver,CO,,5,3,4405,3167991,1688019,{00000000-0000-0000-0000-000000000000}
2015-BFN-0004514,SAKS GALLERIES,3019 E 2ND AVE,LIQUOR - ART GALLERY PERMIT,LICENSE ISSUED - ACTIVE,2016-09-06 07:34:44,2017-09-23 00:00:00,270013,3019 E 2nd Ave,,Denver,CO,,10,3,3800,3154227,1687456,{00000000-0000-0000-0000-000000000000}
2011-BFN-1053453,GARY LEE'S MOTOR CLUB AND GRUB,176 S BROADWAY ,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2016-08-18 14:21:25,2017-01-31 00:00:00,81315,176 S Broadway,,Denver,CO,,7,3,2802,3144280,1685039,{00000000-0000-0000-0000-000000000000}
